-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 
Location: Latitude  40.7578   Longitude -74.1716 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
40.75781,-74.17159,2019,02,22,    0.00,    3.46,   86.15,    4.46,    0.66,   -1.14,   -1.09,    3.40,   -1.06,    0.93,    2.86,    1.04,    4.18,    2.11,    7.04,    3.15,    5.47,    2.76
40.75781,-74.17159,2019,02,23,    1.92,    3.33,   87.55,    5.90,    0.20,   -1.65,   -1.64,    3.13,   -2.77,    0.19,    3.20,    1.44,    1.98,    1.48,    5.18,    2.91,    3.75,    2.16
40.75781,-74.17159,2019,02,24,   15.44,    4.84,   96.75,    4.88,    3.32,    3.19,    3.10,    6.23,    1.35,    3.67,   10.88,    6.76,    1.70,    0.96,   12.58,    7.72,    7.61,    4.63
40.75781,-74.17159,2019,02,25,    0.03,    2.59,   71.73,    6.20,   -0.64,   -5.19,   -5.10,    1.60,   -4.60,   -0.75,    5.55,    3.95,    9.50,    6.08,   15.05,   10.04,   13.13,    8.53
40.75781,-74.17159,2019,02,26,    0.00,    2.05,   71.29,    5.74,   -2.88,   -8.00,   -7.64,   -0.18,   -5.93,   -3.58,    3.76,    2.52,    5.24,    3.50,    9.01,    6.03,    7.68,    5.09
40.75781,-74.17159,2019,02,27,    0.17,    2.07,   76.38,    4.90,   -3.43,   -7.91,   -7.66,   -2.02,   -6.93,   -4.40,    2.65,    1.37,    2.18,    1.61,    4.83,    2.98,    3.60,    2.46
40.75781,-74.17159,2019,02,28,    0.26,    2.52,   78.60,    5.01,   -1.74,   -5.46,   -5.31,    1.06,   -3.95,   -2.25,    7.23,    5.36,    0.96,    0.52,    8.18,    5.88,    4.98,    3.22
40.75781,-74.17159,2019,03,01,    3.79,    2.94,   86.22,    6.34,   -0.84,   -3.37,   -3.38,    1.84,   -4.50,   -1.35,    3.15,    1.94,    2.43,    2.03,    5.58,    3.97,    3.69,    2.53
40.75781,-74.17159,2019,03,02,   11.93,    3.58,   92.35,    4.67,    0.44,   -0.83,   -0.81,    3.02,   -1.65,    0.29,    2.82,    2.51,    3.15,    1.76,    5.98,    4.27,    5.01,    3.16
40.75781,-74.17159,2019,03,03,   15.20,    3.41,   86.26,    6.02,    0.70,   -1.47,   -1.42,    4.54,   -1.48,    0.58,    4.61,    2.73,    0.79,    0.55,    5.40,    3.28,    3.82,    2.23
